invited,user_reco,evt_p_reco,user_pop,frnd_inf1,evt_pop,interested,not_interested
0,0.0,0.0,0.000599510582822,0.0,6.90154939784e-05,0,0
0,0.0,0.0,0.000599510582822,0.0,-1.84041317276e-05,0,0
0,0.0,0.0,0.000599510582822,0.0,-2.99067140573e-05,1,0
0,0.0,0.0,0.000599510582822,0.0,-6.90154939784e-06,0,0
0,0.0,0.0,0.000599510582822,0.0,5.98134281146e-05,0,0
0,0.0,0.0,0.000599510582822,0.0,1.38030987957e-05,0,0
0,0.0,0.0,0.000356168781659,0.0,2.53056811254e-05,0,0
0,0.0,0.0,0.000356168781659,0.0,-1.61036152616e-05,1,0
0,0.0,0.0,0.000356168781659,0.0,0.000641844093999,1,0
0,0.0,0.0,0.000356168781659,0.0,8.511910924e-05,0,0
0,0.0,0.0,0.000356168781659,0.0,2.30051646595e-05,1,0
0,0.0,0.0,0.000356168781659,0.0,4.60103293189e-06,0,0
0,0.0,0.0,0.000356168781659,0.0,4.1409296387e-05,0,0
0,0.0,0.0,0.000281933452449,0.0,2.99067140573e-05,1,0
0,0.0,0.0,0.000281933452449,0.0,3.68082634551e-05,0,0
0,0.0,0.0,0.000281933452449,0.0,-6.90154939784e-06,0,0
0,0.0,0.0,0.000281933452449,0.0,4.60103293189e-05,0,0
0,0.0,0.0,0.000281933452449,0.0,6.90154939784e-06,0,0
0,0.0,0.0,0.000281933452449,0.0,4.1409296387e-05,0,0
0,0.0,0.0,0.000244145793899,0.0,-1.15025823297e-05,0,0
0,0.0,0.0,0.000244145793899,0.0,4.3709812853e-05,0,0
0,0.0,0.0,0.000244145793899,0.0,4.83108457849e-05,0,0
0,0.0,0.0,0.000244145793899,0.0,5.98134281146e-05,1,0
0,0.0,0.0,0.000244145793899,0.0,-3.68082634551e-05,0,0
0,0.0,0.0,0.000244145793899,0.0,7.36165269103e-05,0,0
0,0.0,0.0,0.000295333331368,0.0,3.22072305233e-05,0,0
0,0.0,0.0,0.000295333331368,0.0,2.99067140573e-05,0,0
0,0.0,0.0,0.000295333331368,0.0,3.22072305233e-05,0,0
0,0.0,0.0,0.000295333331368,0.0,2.99067140573e-05,0,0
0,0.0,0.0,0.000295333331368,0.0,2.53056811254e-05,1,0
0,0.0,0.0,0.000295333331368,0.0,-8.05180763081e-05,0,0
0,0.0,0.0,0.000144182697165,0.0,0.0,1,0
0,0.0,0.0,0.000144182697165,0.0,1.38030987957e-05,1,0
0,0.0,0.0,0.000144182697165,0.0,6.67149775125e-05,0,0
0,0.0,0.0,0.000144182697165,0.0,2.53056811254e-05,0,0
